session_id,session_type,session_description,session_track,session_room,start_session,end_session,presentation_LastName,presentation_FirstName,presentation_authors,presentation_title,start_presentation,end_presentation
session_0000202100_0,Plenary Session,Conference Opening,,Aulaen (NORTH Building),2022-10-19T17:00:00,2022-10-19T17:30:00,,,,,,
session_0000202110_0,Plenary Session,Keynote Lecture - Sonia Livingstone,,Aulaen (NORTH Building),2022-10-19T17:30:00,2022-10-19T19:00:00,Jensen,Pia Majbritt,"","",,
session_0000202110_0,Plenary Session,Keynote Lecture - Sonia Livingstone,,Aulaen (NORTH Building),2022-10-19T17:30:00,2022-10-19T19:00:00,Livingstone,Sonia,"S. Livingstone1.1LSE, Media and Communications, London, United Kingdom.",Behind the scenes at the UN: Reflections on the potential for research impact in media and communications,2022-10-19T17:30:00,2022-10-19T19:00:00
session_0000209890_0,Plenary Session,Keynote Lecture - Sonia Livingstone (overflow room),,1250-304 Per Kirkeby aud,2022-10-19T17:30:00,2022-10-19T19:00:00,,,,,,
session_0000202120_0,Social Event,Welcome Reception,,South - Lake Auditoriums,2022-10-19T19:00:00,2022-10-19T20:30:00,,,,,,
session_0000209970_0,Lunch Break and Poster Session,Lunch Break and Poster Session,,South - Lake Auditoriums,2022-10-20T12:30:00,2022-10-20T13:30:00,,,,,,
session_0000195820_0,Parallel Session - NORTH Building,Spiral of Silence Theory 2.0,Political Communication,Aulaen (NORTH Building),2022-10-20T09:00:00,2022-10-20T10:30:00,Klimpe,Hanna,"","",,
session_0000195820_0,Parallel Session - NORTH Building,Spiral of Silence Theory 2.0,Political Communication,Aulaen (NORTH Building),2022-10-20T09:00:00,2022-10-20T10:30:00,Eilders,Christiane,"C. Eilders1, J. Scheper2, H. Scherer2, M. Gerads1, C. Vondeberg1.1Heinrich Heine University Düsseldorf, Kommunikations- und Medienwissenschaft, Düsseldorf, Germany.2Hanover University of Music- Drama and Media, Department of Journalism and Communication Research, Hannover, Germany.",It's More Than Fearing Isolation and Falling Silent: An Extension of the Spiral of Silence Theory to Include Various Forms of Speaking out and Falling Silent and Their Motives.,2022-10-20T09:00:00,2022-10-20T09:15:00
session_0000195820_0,Parallel Session - NORTH Building,Spiral of Silence Theory 2.0,Political Communication,Aulaen (NORTH Building),2022-10-20T09:00:00,2022-10-20T10:30:00,Gerads,Marius,"M. Gerads1.1Heinrich Heine University Düsseldorf, Department of Communication and Media Studies - Institute of Social Sciences, Düsseldorf, Germany.",The perception of opinion climate if one believes in media being hostile - The Hostile Media Perception integrated in Spiral of Silence Theory,2022-10-20T09:15:00,2022-10-20T09:30:00
session_0000195820_0,Parallel Session - NORTH Building,Spiral of Silence Theory 2.0,Political Communication,Aulaen (NORTH Building),2022-10-20T09:00:00,2022-10-20T10:30:00,Solverson,Elizabeth,"E. Solverson1.1Nord University, Faculty of Social Sciences, Levanger, Norway.",Why is the majority silent?: Exploring reasons young adults refrain from expressing their political views online,2022-10-20T09:30:00,2022-10-20T09:45:00
